model,accuracy,precision,recall,f1,roc_auc
RandomForestClassifier_balanced_entropy_(12),0.904761905,0.75,0.75,0.75,0.845588235
RandomForestClassifier_balanced_gini_(16),0.892857143,0.6875,0.733333333,0.709677419,0.830434783
RandomForestClassifier_balanced_gini_(17),0.892857143,0.625,0.769230769,0.689655172,0.842361863
RandomForestClassifier_balanced_gini_(15),0.880952381,0.6875,0.6875,0.6875,0.806985294
RandomForestClassifier_balanced_gini_(13),0.869047619,0.625,0.666666667,0.64516129,0.789855072
RandomForestClassifier_balanced_log_loss_(15),0.869047619,0.75,0.631578947,0.685714286,0.785020243
RandomForestClassifier_balanced_gini_(11),0.857142857,0.6875,0.611111111,0.647058824,0.767676768
RandomForestClassifier_balanced_gini_(12),0.857142857,0.6875,0.611111111,0.647058824,0.767676768
RandomForestClassifier_balanced_gini_(14),0.857142857,0.6875,0.611111111,0.647058824,0.767676768
RandomForestClassifier_balanced_entropy_(13),0.857142857,0.625,0.625,0.625,0.768382353
RandomForestClassifier_balanced_log_loss_(11),0.857142857,0.75,0.6,0.666666667,0.76875
RandomForestClassifier_balanced_log_loss_(13),0.857142857,0.6875,0.611111111,0.647058824,0.767676768
RandomForestClassifier_balanced_log_loss_(17),0.857142857,0.625,0.625,0.625,0.768382353
RandomForestClassifier_balanced_entropy_(11),0.845238095,0.6875,0.578947368,0.628571429,0.751012146
RandomForestClassifier_balanced_entropy_(14),0.845238095,0.6875,0.578947368,0.628571429,0.751012146
RandomForestClassifier_balanced_entropy_(15),0.845238095,0.5625,0.6,0.580645161,0.749275362
RandomForestClassifier_balanced_entropy_(16),0.845238095,0.625,0.588235294,0.606060606,0.749341528
RandomForestClassifier_balanced_log_loss_(12),0.845238095,0.75,0.571428571,0.648648649,0.753968254
RandomForestClassifier_balanced_log_loss_(14),0.845238095,0.6875,0.578947368,0.628571429,0.751012146
RandomForestClassifier_balanced_gini_(7),0.833333333,0.75,0.545454545,0.631578947,0.740469208
RandomForestClassifier_balanced_gini_(10),0.833333333,0.75,0.545454545,0.631578947,0.740469208
RandomForestClassifier_balanced_entropy_(9),0.821428571,0.75,0.52173913,0.615384615,0.72808268
RandomForestClassifier_balanced_entropy_(17),0.821428571,0.625,0.526315789,0.571428571,0.717004049
RandomForestClassifier_balanced_log_loss_(10),0.821428571,0.75,0.52173913,0.615384615,0.72808268
RandomForestClassifier_balanced_log_loss_(16),0.821428571,0.5625,0.529411765,0.545454545,0.712467076
RandomForestClassifier_balanced_gini_(9),0.80952381,0.6875,0.5,0.578947368,0.709677419
RandomForestClassifier_balanced_entropy_(10),0.80952381,0.6875,0.5,0.578947368,0.709677419
RandomForestClassifier_balanced_log_loss_(7),0.80952381,0.75,0.5,0.6,0.716666667
RandomForestClassifier_balanced_log_loss_(9),0.80952381,0.75,0.5,0.6,0.716666667
RandomForestClassifier_balanced_log_loss_(8),0.797619048,0.75,0.48,0.585365854,0.706101695
RandomForestClassifier_balanced_gini_(6),0.785714286,0.75,0.461538462,0.571428571,0.696286472
RandomForestClassifier_balanced_gini_(8),0.785714286,0.75,0.461538462,0.571428571,0.696286472
RandomForestClassifier_balanced_entropy_(7),0.785714286,0.75,0.461538462,0.571428571,0.696286472
RandomForestClassifier_balanced_entropy_(8),0.785714286,0.75,0.461538462,0.571428571,0.696286472
RandomForestClassifier_balanced_gini_(4),0.773809524,0.75,0.444444444,0.558139535,0.687134503
RandomForestClassifier_balanced_gini_(5),0.773809524,0.75,0.444444444,0.558139535,0.687134503
RandomForestClassifier_balanced_log_loss_(6),0.773809524,0.75,0.444444444,0.558139535,0.687134503
RandomForestClassifier_balanced_gini_(3),0.761904762,0.6875,0.423076923,0.523809524,0.668435013
RandomForestClassifier_balanced_entropy_(4),0.761904762,0.75,0.428571429,0.545454545,0.678571429
RandomForestClassifier_balanced_log_loss_(4),0.761904762,0.75,0.428571429,0.545454545,0.678571429
RandomForestClassifier_balanced_log_loss_(5),0.761904762,0.75,0.428571429,0.545454545,0.678571429
RandomForestClassifier_balanced_entropy_(5),0.75,0.75,0.413793103,0.533333333,0.670532915
RandomForestClassifier_balanced_log_loss_(3),0.75,0.75,0.413793103,0.533333333,0.670532915
RandomForestClassifier_balanced_entropy_(3),0.738095238,0.6875,0.392857143,0.5,0.651785714
RandomForestClassifier_balanced_entropy_(6),0.738095238,0.75,0.4,0.52173913,0.662962963